"instance","seed","enforce_time_windows","algo","iterations","neighborhood_family","inter_type","sa_initial_temp","sa_cooling_rate","tabu_tenure","penalty_weight"
"data/data1101.vrp","41","non","sa","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","41","non","sa","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","41","non","sa","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","41","non","tabu","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","41","non","tabu","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","41","non","tabu","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","41","oui","sa","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","41","oui","sa","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","41","oui","sa","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","41","oui","tabu","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","41","oui","tabu","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","41","oui","tabu","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","42","non","sa","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","42","non","sa","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","42","non","sa","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","42","non","tabu","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","42","non","tabu","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","42","non","tabu","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","42","oui","sa","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","42","oui","sa","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","42","oui","sa","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","42","oui","tabu","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","42","oui","tabu","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","42","oui","tabu","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","43","non","sa","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","43","non","sa","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","43","non","sa","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","43","non","tabu","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","43","non","tabu","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","43","non","tabu","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","43","oui","sa","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","43","oui","sa","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","43","oui","sa","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","43","oui","tabu","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","43","oui","tabu","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","43","oui","tabu","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","44","non","sa","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","44","non","sa","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","44","non","sa","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","44","non","tabu","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","44","non","tabu","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","44","non","tabu","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","44","oui","sa","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","44","oui","sa","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","44","oui","sa","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","44","oui","tabu","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","44","oui","tabu","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","44","oui","tabu","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","45","non","sa","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","45","non","sa","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","45","non","sa","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","45","non","tabu","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","45","non","tabu","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","45","non","tabu","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","45","oui","sa","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","45","oui","sa","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","45","oui","sa","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","45","oui","tabu","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","45","oui","tabu","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","45","oui","tabu","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","101","non","sa","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","101","non","sa","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","101","non","sa","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","101","non","tabu","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","101","non","tabu","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","101","non","tabu","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","101","oui","sa","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","101","oui","sa","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","101","oui","sa","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","101","oui","tabu","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","101","oui","tabu","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","101","oui","tabu","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","102","non","sa","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","102","non","sa","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","102","non","sa","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","102","non","tabu","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","102","non","tabu","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","102","non","tabu","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","102","oui","sa","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","102","oui","sa","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","102","oui","sa","100000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","102","oui","tabu","10000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","102","oui","tabu","30000","inter","relocate","1250","0,9993","40","1000"
"data/data1101.vrp","102","oui","tabu","100000","inter","relocate","1250","0,9993","40","1000"
